,loan product,status,amount,credit score,rent,monthly income,other income,debts,has debts,pays rent,has credit,dti
72,4,0,7500.0,600,550.0,2093.0,0.0,284.0,1,1,1,13.57
73,4,0,25500.0,600,375.0,4262.0,0.0,420.0,1,1,1,9.85
74,3,0,3711.96,0,0.0,0.0,0.0,0.0,0,0,0,100.0
75,1,0,2000.0,700,1100.0,3400.0,0.0,427.0,1,1,1,12.56
76,3,0,15000.0,600,675.0,4333.333,0.0,2021.0,1,1,1,46.64
77,1,0,1000.0,0,700.0,2564.0,664.0,0.0,0,1,0,0.0
78,2,0,500.0,0,200.0,600.0,0.0,0.0,0,1,0,0.0
79,3,0,6200.0,0,1065.0,3120.0,0.0,0.0,0,1,0,0.0
80,1,0,500.0,500,0.0,2409.333,0.0,121.0,1,0,1,5.02
81,1,0,6000.0,700,300.0,3746.167,0.0,795.0,1,1,1,21.22
82,4,0,6667.0,700,600.0,2933.33,333.33,142.42,1,1,1,4.36
83,1,0,1500.0,0,850.0,0.0,0.0,0.0,0,1,0,100.0
84,4,0,30000.0,800,300.0,3000.0,0.0,35.0,1,1,1,1.17
85,1,0,2600.0,0,400.0,3333.333,0.0,69.0,1,1,0,2.07
86,1,0,200000.0,800,0.0,5416.667,0.0,707.0,1,0,1,13.05
87,2,0,1000.0,0,500.0,2600.0,0.0,0.0,0,1,0,0.0
88,3,0,19000.0,700,400.0,0.0,0.0,431.0,1,1,1,100.0
89,3,0,6000.0,0,0.0,1144.0,0.0,0.0,0,0,0,0.0
90,1,0,3000.0,800,0.0,4000.0,0.0,1757.0,1,0,1,43.92
91,2,0,1000.0,600,749.0,3060.0,0.0,25.0,1,1,1,0.82
92,1,0,200.0,600,1153.0,1200.0,0.0,117.0,1,1,1,9.75
93,1,0,1500.0,600,1436.74,4380.0,0.0,2463.59,1,1,1,56.25
94,1,0,1000.0,800,0.0,8233.333,0.0,75.0,1,0,1,0.91
95,1,0,3400.0,700,0.0,1625.0,0.0,230.0,1,0,1,14.15
96,3,0,17000.0,700,1200.0,1300.0,0.0,316.77,1,1,1,24.37
97,2,0,2000.0,700,400.0,2590.0,0.0,25.0,1,1,1,0.97
98,3,0,37000.0,700,1200.0,3800.0,0.0,20.0,1,1,1,0.53
99,3,0,18000.0,600,1118.0,4506.667,0.0,218.15,1,1,1,4.84
100,2,0,10000.0,600,1200.0,0.0,0.0,94.0,1,1,1,100.0
101,2,0,3500.0,600,852.0,2400.0,0.0,494.0,1,1,1,20.58
102,4,0,27000.0,700,0.0,5000.0,0.0,373.0,1,0,1,7.46
103,3,0,21000.0,0,150.0,1700.0,0.0,0.0,0,1,0,0.0
104,1,0,3000.0,600,0.0,4966.672,0.0,475.0,1,0,1,9.56
105,2,0,3000.0,700,450.0,2600.0,0.0,489.0,1,1,1,18.81
106,2,0,1000.0,600,0.0,3163.0,0.0,902.0,1,0,1,28.52
107,1,0,2500.0,600,960.0,6000.0,0.0,61.78,1,1,1,1.03
108,3,0,38314.04,500,0.0,7800.0,0.0,140.0,1,0,1,1.79
109,1,0,20000.0,700,500.0,4000.0,0.0,30.0,1,1,1,0.75
110,1,0,2000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
111,3,0,20000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
112,1,0,3000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
113,3,0,200.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
114,3,0,25000.0,800,0.0,700.0,700.0,148.0,1,0,1,10.57
115,3,0,800.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
116,1,0,3000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
117,1,0,2000.0,600,329.0,2145.0,0.0,0.0,0,1,1,0.0
118,3,0,9000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
119,1,0,800.0,600,300.0,0.0,0.0,0.0,0,1,1,100.0
120,1,0,8000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
121,1,0,1000.0,700,700.0,1000.0,0.0,184.0,1,1,1,18.4
122,1,0,7000.0,600,150.0,1475.0,1475.0,337.0,1,1,1,11.42
123,2,0,600.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
124,1,0,500.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
125,1,0,8500.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
126,1,0,2500.0,600,0.0,0.0,0.0,43.0,1,0,1,100.0
